,Product Name,Price,Rating
0,Sound Sleep Cocoon Night Gel-Cream,$89.00,No rating
1,Makeup Setting Spray Organic Sunscreen SPF 30,$36.00,No rating
2,Snail Rescue All-In-One Deep Moisture Cream,$16.99,No rating
3,Travel Size Essential Energy Hydrating Cream,$30.00,No rating
4,Holy Hydration! Triple Bounce Serum,$12.00,No rating
5,Travel Size Milk Shake Hyaluronic Acid & Squalane Facial Toner Mist,$19.00,4.5 out of 5 stars ; 1782 reviews
6,Travel Size The Cult Classic Purifying Face Cleanser,$14.00,3.8 out of 5 stars ; 1443 reviews
7,Magnesi-Om Sleep and Relaxation Supplement,$44.00,4.6 out of 5 stars ; 222 reviews
8,All About Clean Foaming Facial Soap,$28.00,4.6 out of 5 stars ; 712 reviews
9,GET-SPRUNG Enriched Stretch Mark Oil,$35.00,4.6 out of 5 stars ; 5389 reviews
10,Hope In A Jar Water Cream Hyaluronic Glow Moisturizer,$49.00,4.8 out of 5 stars ; 639 reviews
11,Rescue Party Barrier Comfort Cream,$43.00,4.3 out of 5 stars ; 4453 reviews
12,Bye Bye Bumps Kit,$30.00,4.8 out of 5 stars ; 592 reviews
13,Vitamin C Serum,$43.00,4.5 out of 5 stars ; 320 reviews
14,Tonique Confort Hydrating Toner with Hyaluronic Acid,$42.00,4.8 out of 5 stars ; 387 reviews
15,SkinActive Micellar Replumping Hyaluronic Acid Micellar Water,$5.59 - $14.99,4.6 out of 5 stars ; 658 reviews
16,Age Smart Reversal Eye Complex,$79.00,4.5 out of 5 stars ; 33 reviews
17,Pro-Collagen Hydrating Night Cream,$109.00 - $170.00,4.9 out of 5 stars ; 14 reviews
18,Mela B3 Dark Spot Face Cleanser with Melasyl and Niacinamide,$27.99,4.6 out of 5 stars ; 790 reviews
19,"SA Lotion, Salicylic Acid Body Lotion for Rough & Bumpy Skin",$21.99,4.5 out of 5 stars ; 224 reviews
20,24-7 Weightless Moisture Day & Night Gel Cream,$58.00,4.8 out of 5 stars ; 2393 reviews
